"","Variable","category","logFC_LeanIR","logFC_ObeseIS","P.Value_LeanIR","P.Value_ObeseIS","validated_ukb"
"1","LEP","Common_Same",1.43792934651137,0.828318012193187,0.00038605250543001,0.0226942160810111,TRUE
"2","IGFBP1","Common_Same",-1.41575154391444,-1.48290040474451,0.00118074908050718,0.00021559530663206,TRUE
"3","FGF21","Common_Same",1.19342866800806,0.790799356056404,0.00119432895151395,0.0173429153278869,TRUE
"4","ESYT2","Unique_LeanIR",1.16504316024071,NA,0.00740266813066784,NA,TRUE
"5","TREH","Unique_LeanIR",1.04003437931595,NA,0.0220375046306479,NA,TRUE
"6","PLCB2","Unique_LeanIR",0.958646734222336,NA,0.0178082754356123,NA,TRUE
"7","HAO1","Common_Same",0.91452554890489,1.31301670905098,0.031771304666104,0.00085734378463155,TRUE
"8","IL6","Unique_LeanIR",0.863033415681754,NA,0.01063246227746,NA,TRUE
"9","SERPINE1","Common_Same",0.855186824123223,0.775880561832323,0.00333928227483738,0.00349662510601248,TRUE
"10","IGSF9","Common_Same",0.840574000661268,1.01302789657655,0.00126252004963652,2.72970158824274e-05,TRUE
"11","GTPBP2","Common_Same",0.828843446108736,1.03189924063257,0.0305458176036124,0.00340827232911299,TRUE
"12","RTN4IP1","Unique_LeanIR",0.818743401173864,NA,0.00339024181442193,NA,TRUE
"13","ADH4","Unique_ObeseIS",NA,1.19137258522677,NA,3.6489854487203e-05,TRUE
"14","GSTA1","Common_Same",0.750671936238498,1.07912894317741,0.00828190236140505,4.58209919522454e-05,TRUE
"15","CA5A","Unique_ObeseIS",NA,1.05107631679226,NA,0.0001412384920084,TRUE
"16","OXT","Unique_ObeseIS",NA,1.03082323243223,NA,0.0154601781900241,TRUE
"17","KRT8","Unique_ObeseIS",NA,0.979875510360405,NA,0.00805585991834983,TRUE
"18","DBH","Unique_ObeseIS",NA,-0.979033069727159,NA,0.0187148645052789,TRUE
"19","FTCD","Common_Same",0.724032787870907,0.961112802308837,0.0223839351565289,0.00102097184951494,TRUE
"20","ADH1B","Common_Same",0.613079724579297,0.951403672135568,0.0146626458940918,4.9187953014332e-05,TRUE
"21","GAS2","Unique_ObeseIS",NA,0.930460383225503,NA,0.00337086500549128,TRUE
"22","ECHDC3","Unique_ObeseIS",NA,0.91182356382782,NA,0.0118990338295756,TRUE
"23","PARP1","Unique_ObeseIS",NA,0.909385241353844,NA,0.00126190600572817,TRUE
"24","EIF4E","Unique_ObeseIS",NA,0.909128656098303,NA,0.0430557445521823,TRUE
"25","DKKL1","Unique_ObeseIS",NA,-0.896282986962756,NA,0.00375469190893782,TRUE
"26","ELOA","Unique_ObeseIS",NA,0.890124704084777,NA,1.27190084688126e-05,TRUE
"27","ECHS1","Common_Same",0.697026490490547,0.868378007449922,0.0427510239338198,0.00600240107839459,TRUE
"28","ITPA","Unique_ObeseIS",NA,0.848914447049493,NA,0.0215275346901033,TRUE
"29","KRT18","Unique_ObeseIS",NA,0.837490374690735,NA,0.00166778315060706,TRUE
"30","DCXR","Unique_ObeseIS",NA,0.817419411562902,NA,0.00028117170752107,TRUE
"31","AIFM1","Common_Same",0.623019523659979,0.805894262691265,0.0170794403028332,0.00082820309378896,TRUE
